Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo
1,,,BABY-PLUS CompactStyle,F 15-11 (Grey),灰色,,58.63  €,-,64.49 €,,,,,X,,X,,,,X,,X,,,,
2,,,BABY-PLUS CompactStyle,F 15-25 (Black),黑色,,58.63  €,-,64.49 €,  ,,,,X,,X,,,,X,,X,,,,
3,,,BABY-PLUS CompactStyle,F 15-08 (Denim),牛仔蓝色,,58.63  €,-,64.49 €,,,,,X,,X,,,,X,,X,,,,
4,,,BABY-PLUS CompactPlus,F 15-41 (Grün),绿色,,48.56  €,-,53.42 €,,,,,X,,X,,,,X,,X,,,,
5,,,BABY-PLUS CompactPlus,F 15-25 (Schwarz),黑色,,48.56  €,-,53.42 €,,,,,X,,X,,,,X,,X,,,,
6,,,BABY-PLUS CompactPlus,F 15-13 (Cappuccino),浅棕色,,48.56  €,-,53.42 €,,,,,X,,X,,,,X,,X,,,,
7,,,BABY-PLUS MatchPro,F 15-41 (Grün),绿色,,38.97  €,-,42.87 €,,,,,,,,,,,,,,,,,
8,,,BABY-PLUS MatchPro,F 15-25 (Schwarz),黑色,,38.97  €,-,42.87 €,,,,,,,,,,,,,,,,,
9,,,BABY-PLUS MatchPro,F 15-13 (Cappuccino),浅棕色,,38.97  €,-,42.87 €,,,,,,,,,,,,,,,,,
10,,,BABY-PLUS CompactTwin,H 14-01 (Cacao),深棕色,,150.60  €,299.00  €,165.66 €,,,,,,,,,,,,,,,,,
11,,,BABY-PLUS CompactTwin,H 14-02 (Grey),灰色,,150.60  €,299.00  €,165.66 €,,,,,,,,,,,,,,,,,
12,,,BABY-PLUS AirTec DUO,H 14-20 (Anthrazit-Grey),黑色-灰色,,119.93  €,199.00  €,131.92 €,,,,,,,,,,,,,,,,,
13,,,BABY-PLUS Marbella Sitzbuggy,2015 (sortiert),蓝色；绿色；深灰色；红色,,18.50  €,-,20.35 €,,,,,,,,,,,,,,,,,
14,,,CHICCO Lite Way,"mit faltbarem Bügel, ombra",黑色,,77.21  €,139.00  €,84.93 €,,,,,,,,,,,,,,,,,
15,,,CHICCO Lite Way,"mit faltbarem Bügel, purple",紫色,,77.21  €,139.00  €,84.93 €,,,,,,,,,,,,,,,,,
16,,,CHICCO Lite Way,"mit faltbarem Bügel, dune",卡其色,,77.21  €,139.00  €,84.93 €,,,,,,,,,,,,,,,,,
17,,,CHICCO London Up,"mit Bügel, hoop",圆形图案,,57.34  €,99.90  €,63.07 €,,,,,,,,,,,,,,,,,
18,,,CHICCO London Up,"mit Bügel, sand",淡粉色,,57.34  €,99.90  €,63.07 €,,,,,,,,,,,,,,,,,
