Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo
1,329800,,WMF Thermo.Kaffeem.Lineo.Edels,,,, 106.95 € ,169.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
2,329803,,WMF Kaffeemasch.Lineo.Edelst.,,,, 76.75 € ,139.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
3,329857,,WMF Kaffeemasch.Lono,,,, 55.50 € ,99.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
4,A 329820,,"WMF Kaffeema.Skyline, cromag",,,, 55.50 € ,89.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
5,A 329854,,WMF Kaffeemasch. Bueno,,,, 31.95 € ,59.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
6,329859,,WMF Thermo-Kaffeemasch. Lono,,,, 69.95 € ,119.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
7,329889,,WMF Kaffeemasch. Stelio,,,, 29.95 € ,69.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
8,329890,,WMF Thermo-Kaffeemasch.Stelio,,,, 44.95 € ,89.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
9,329894,,WMF Terra Kaffeeautomat Glas,,,, 39.95 € ,79.99 €,2,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
10,329914,,WMF Bueno Kaffeeautomat Glas,,,, 24.95 € ,69.99 €,4,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
11,329896,,WMF Coup Kaffeeautomat 1-4 T.,,,, 55.50 € ,99.99 €,4,WMF,Kaffeeautomat-滴漏式咖啡机,,,,,,,,,,,,,,,
12,329802,,WMF Wasserkocher Lineo 1.6l.,,,, 69.95 € ,119.99 €,4,WMF,Wasserkocher-烧水壶,,,,,,,,,,,,,,,
13,329846,,WMF Wasserkocher Stelio 1.2l,,,, 27.85 € ,64.99 €,6,WMF,Wasserkocher-烧水壶,,,,,,,,,,,,,,,
14,329847,,WMF Wasserkocher Stelio 1.7l,,,, 29.70 € ,69.99 €,6,WMF,Wasserkocher-烧水壶,,,,,,,,,,,,,,,
15,329849,,WMF 413100011 Wasserkocher Lin,,,, 61.95 € ,99.99 €,4,WMF,Wasserkocher-烧水壶,,,,,,,,,,,,,,,
