store,websites,attribute_set,configurable_attributes,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,media_gallery,url_key, url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,gift_wrapping_available,manufacturer,status,is_recurring,visibility,tax_class_id,material,apparel_type,sleeve_length,fit,size,length,gender,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,price,special_price,weight,msrp,gift_wrapping_price,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
"admin","base","Default","","simple","179,190,182","B00I5ABIFI", 0,"WMF Thermo.Kaffeem.Lineo.Edels","","",/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg;/B00I5ABIFI_1.jpg;/B00I5ABIFI_2.jpg;/B00I5ABIFI_3.jpg;/B00I5ABIFI_4.jpg;/B00I5ABIFI_5.jpg;/B00I5ABIFI_6.jpg;/B00I5ABIFI_7.jpg;/B00I5ABIFI_8.jpg,"WMF-Thermo.Kaffeem.Lineo.Edels","WMF-Thermo.Kaffeem.Lineo.Edels.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Mixbehälter (Fassungsvermögen: 0,6 l)  Skala  praktischem Trink</span></li><li><span style='font-size:15px'> wertiges 4-flügliges messer</span></li><li><span style='font-size:15px'> Sicherheitsfunktion: Mixfunktion nur bei aufgesetztem Behälter</span></li><li><span style='font-size:15px'> Hohe Standfestigkeit durch rutschsichere Aufstellung</span></li><li><span style='font-size:15px'> Stoff Cromargan® , Tritan - bpa-frei</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp04 1627 0011</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp1,6 Kg</li><li><b></b>:&nbsp24,4 x 20,8 x 13,8 cm</li><li><b></b>:&nbsp300 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp</li><li><b></b>:&nbspDirac-Stoß</li></ul>",,,,,2013-03-01 00:00:00,,,,"169.99","106.95","1,6",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00I5ABIFI", 0,"WMF Kaffeemasch.Lineo.Edelst.","","",/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg;/B00I5ABIFI_1.jpg;/B00I5ABIFI_2.jpg;/B00I5ABIFI_3.jpg;/B00I5ABIFI_4.jpg;/B00I5ABIFI_5.jpg;/B00I5ABIFI_6.jpg;/B00I5ABIFI_7.jpg;/B00I5ABIFI_8.jpg,"WMF-Kaffeemasch.Lineo.Edelst.","WMF-Kaffeemasch.Lineo.Edelst..html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Mixbehälter (Fassungsvermögen: 0,6 l)  Skala  praktischem Trink</span></li><li><span style='font-size:15px'> wertiges 4-flügliges messer</span></li><li><span style='font-size:15px'> Sicherheitsfunktion: Mixfunktion nur bei aufgesetztem Behälter</span></li><li><span style='font-size:15px'> Hohe Standfestigkeit durch rutschsichere Aufstellung</span></li><li><span style='font-size:15px'> Stoff Cromargan® , Tritan - bpa-frei</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp04 1627 0011</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp1,6 Kg</li><li><b></b>:&nbsp24,4 x 20,8 x 13,8 cm</li><li><b></b>:&nbsp300 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp</li><li><b></b>:&nbspDirac-Stoß</li></ul>",,,,,2013-03-01 00:00:00,,,,"139.99","76.75","1,6",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00I5ABIFI", 0,"WMF Kaffeemasch.Lono","","",/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg;/B00I5ABIFI_1.jpg;/B00I5ABIFI_2.jpg;/B00I5ABIFI_3.jpg;/B00I5ABIFI_4.jpg;/B00I5ABIFI_5.jpg;/B00I5ABIFI_6.jpg;/B00I5ABIFI_7.jpg;/B00I5ABIFI_8.jpg,"WMF-Kaffeemasch.Lono","WMF-Kaffeemasch.Lono.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Mixbehälter (Fassungsvermögen: 0,6 l)  Skala  praktischem Trink</span></li><li><span style='font-size:15px'> wertiges 4-flügliges messer</span></li><li><span style='font-size:15px'> Sicherheitsfunktion: Mixfunktion nur bei aufgesetztem Behälter</span></li><li><span style='font-size:15px'> Hohe Standfestigkeit durch rutschsichere Aufstellung</span></li><li><span style='font-size:15px'> Stoff Cromargan® , Tritan - bpa-frei</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp04 1627 0011</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp1,6 Kg</li><li><b></b>:&nbsp24,4 x 20,8 x 13,8 cm</li><li><b></b>:&nbsp300 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp</li><li><b></b>:&nbspDirac-Stoß</li></ul>",,,,,2013-03-01 00:00:00,,,,"99.99","55.5","1,6",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B008JBWR1W", 0,"WMF Kaffeemasch. Bueno","","",/B008JBWR1W_0.jpg,/B008JBWR1W_0.jpg,/B008JBWR1W_0.jpg,/B008JBWR1W_0.jpg;/B008JBWR1W_1.jpg;/B008JBWR1W_2.jpg;/B008JBWR1W_3.jpg;/B008JBWR1W_4.jpg;/B008JBWR1W_5.jpg;/B008JBWR1W_6.jpg,"WMF-Kaffeemasch.-Bueno","WMF-Kaffeemasch.-Bueno.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'>  Wasserkocher</span></li><li><span style='font-size:15px'> 2.400 Watt Leistung</span></li><li><span style='font-size:15px'> Fassungsvermögen: 1,7l</span></li><li><span style='font-size:15px'> Verdecktes heizelement</span></li><li><span style='font-size:15px'> Beleuchtete, außenliegende Wasserstandsanzeige</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbspBUENO</li><li><b></b>:&nbsp1,2 Kg</li><li><b></b>:&nbsp22 x 14,5 x 24,5 cm</li><li><b></b>:&nbsp1.7 Liter</li><li><b></b>:&nbsp2400 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp</li><li><b></b>:&nbspisoliertes Heizelement, Kabellos, Trockengehschutz</li></ul>",,,,,2013-03-01 00:00:00,,,,"59.99","31.95","1,2",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00EB1TVPO", 0,"WMF Thermo-Kaffeemasch. Lono","","",/B00EB1TVPO_0.jpg,/B00EB1TVPO_0.jpg,/B00EB1TVPO_0.jpg,/B00EB1TVPO_0.jpg;/B00EB1TVPO_1.jpg;/B00EB1TVPO_2.jpg;/B00EB1TVPO_3.jpg;/B00EB1TVPO_4.jpg;/B00EB1TVPO_5.jpg,"WMF-Thermo-Kaffeemasch.-Lono","WMF-Thermo-Kaffeemasch.-Lono.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Cromargan </span></li><li><span style='font-size:15px'> Kabelloser Wasserkocher  separatem Gerätesockel  Kabelaufwicklung</span></li><li><span style='font-size:15px'> Einhandöffnung per Knopfdruck</span></li><li><span style='font-size:15px'> Außenliegende Wasserstandsanzeige</span></li><li><span style='font-size:15px'> Verdecktes heizelement</span></li><li><span style='font-size:15px'> Trockenlauf-  Überhitzungsschutz</span></li><li><span style='font-size:15px'> Leistung: 2400 Watt</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp0413130011</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp1,9 Kg</li><li><b></b>:&nbsp25 x 17,7 x 30,8 cm</li><li><b></b>:&nbsp1.6 Liter</li><li><b></b>:&nbsp2400 Watt</li></ul>",,,,,2013-03-01 00:00:00,,,,"119.99","69.95","1,9",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00A7URUOC", 0,"WMF Kaffeemasch. Stelio","","",/B00A7URUOC_0.jpg,/B00A7URUOC_0.jpg,/B00A7URUOC_0.jpg,/B00A7URUOC_0.jpg;/B00A7URUOC_1.jpg;/B00A7URUOC_2.jpg;/B00A7URUOC_3.jpg;/B00A7URUOC_4.jpg;/B00A7URUOC_5.jpg;/B00A7URUOC_6.jpg;/B00A7URUOC_7.jpg,"WMF-Kaffeemasch.-Stelio","WMF-Kaffeemasch.-Stelio.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Sonstige",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'>  Wasserkocher</span></li><li><span style='font-size:15px'> Fassungsvermögen: 1,7l</span></li><li><span style='font-size:15px'> Innenraum beleuchtet</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp0413020012</li><li><b></b>:&nbspSonstige</li><li><b></b>:&nbsp1,4 Kg</li><li><b></b>:&nbsp22 x 17 x 24,2 cm</li><li><b></b>:&nbsp1.7 Liter</li><li><b></b>:&nbsp2400 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbspA to G</li><li><b></b>:&nbspisoliertes Heizelement, Kabellos, Trockengehschutz</li></ul>",,,,,2013-03-01 00:00:00,,,,"69.99","29.95","1,4",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00I5ABIFI", 0,"WMF Thermo-Kaffeemasch.Stelio","","",/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg,/B00I5ABIFI_0.jpg;/B00I5ABIFI_1.jpg;/B00I5ABIFI_2.jpg;/B00I5ABIFI_3.jpg;/B00I5ABIFI_4.jpg;/B00I5ABIFI_5.jpg;/B00I5ABIFI_6.jpg;/B00I5ABIFI_7.jpg;/B00I5ABIFI_8.jpg,"WMF-Thermo-Kaffeemasch.Stelio","WMF-Thermo-Kaffeemasch.Stelio.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Mixbehälter (Fassungsvermögen: 0,6 l)  Skala  praktischem Trink</span></li><li><span style='font-size:15px'> wertiges 4-flügliges messer</span></li><li><span style='font-size:15px'> Sicherheitsfunktion: Mixfunktion nur bei aufgesetztem Behälter</span></li><li><span style='font-size:15px'> Hohe Standfestigkeit durch rutschsichere Aufstellung</span></li><li><span style='font-size:15px'> Stoff Cromargan® , Tritan - bpa-frei</span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp04 1627 0011</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp1,6 Kg</li><li><b></b>:&nbsp24,4 x 20,8 x 13,8 cm</li><li><b></b>:&nbsp300 Watt</li><li><b></b>:&nbsp</li><li><b></b>:&nbsp</li><li><b></b>:&nbspDirac-Stoß</li></ul>",,,,,2013-03-01 00:00:00,,,,"89.99","44.95","1,6",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00SNMVZ8I", 0,"WMF Terra Kaffeeautomat Glas","","",/B00SNMVZ8I_0.jpg,/B00SNMVZ8I_0.jpg,/B00SNMVZ8I_0.jpg,/B00SNMVZ8I_0.jpg,"WMF-Terra-Kaffeeautomat-Glas","WMF-Terra-Kaffeeautomat-Glas.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"",Knits,"",,S,,Male,"","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp04 1215 0081</li><li><b></b>:&nbsp1.25 Liter</li></ul>",,,,,2013-03-01 00:00:00,,,,"79.99","39.95","",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00OISV6V2", 0,"WMF Bueno Kaffeeautomat Glas","","",/B00OISV6V2_0.jpg,/B00OISV6V2_0.jpg,/B00OISV6V2_0.jpg,/B00OISV6V2_0.jpg;/B00OISV6V2_1.jpg;/B00OISV6V2_2.jpg;/B00OISV6V2_3.jpg,"WMF-Bueno-Kaffeeautomat-Glas","WMF-Bueno-Kaffeeautomat-Glas.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> WMF  Bueno Aroma </span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp412170011</li></ul>",,,,,2013-03-01 00:00:00,,,,"69.99","24.95","",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","179,190,182","B00MOIG1FY", 0,"WMF Coup Kaffeeautomat 1-4 T.","","",/B00MOIG1FY_0.jpg,/B00MOIG1FY_0.jpg,/B00MOIG1FY_0.jpg,/B00MOIG1FY_0.jpg;/B00MOIG1FY_1.jpg;/B00MOIG1FY_2.jpg;/B00MOIG1FY_3.jpg;/B00MOIG1FY_4.jpg;/B00MOIG1FY_5.jpg;/B00MOIG1FY_6.jpg;/B00MOIG1FY_7.jpg;/B00MOIG1FY_8.jpg;/B00MOIG1FY_9.jpg;/B00MOIG1FY_10.jpg,"WMF-Coup-Kaffeeautomat-1-4-T.","WMF-Coup-Kaffeeautomat-1-4-T..html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"silber",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> 1-Tassen-AromaOne-Technologie-kleine Kaffeemengen heiß  aromatisch genießen</span></li><li><span style='font-size:15px'> WMF  One Touch Funktion für 1  4 Tassen ( a 125 ml )</span></li><li><span style='font-size:15px'> Aromaglaskanne</span></li><li><span style='font-size:15px'> WMF  Aroma Perfection - für individuellen Kaffeegenuss</span></li><li><span style='font-size:15px'> Herausnehmbarer Filtereinsatz ( Größe 2 )</span></li><li><span style='font-size:15px'> Abnehmbarer Wassertank</span></li><li><span style='font-size:15px'> Cromargan </span></li></ul>","<ul><li><b></b>:&nbspWMF </li><li><b></b>:&nbsp0412140011</li><li><b></b>:&nbspsilber</li><li><b></b>:&nbsp5 g</li><li><b></b>:&nbsp28,5 x 20,1 x 34,3 cm</li><li><b></b>:&nbsp900.00</li><li><b></b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"99.99","55.5","5",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
