store,websites,attribute_set,configurable_attributes,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,media_gallery,url_key, url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,gift_wrapping_available,manufacturer,status,is_recurring,visibility,tax_class_id,material,apparel_type,sleeve_length,fit,size,length,gender,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,price,special_price,weight,msrp,gift_wrapping_price,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
"admin","base","Default","","simple","14,86,91","B00MS3U8WM", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/61CwETDBctL._SL1000_.jpg",+http://ecx.images-amazon.com/images/I/61CwETDBctL._SL1000_.jpg,+http://ecx.images-amazon.com/images/I/61CwETDBctL._SL1000_.jpg,+http://ecx.images-amazon.com/images/I/61CwETDBctL._SL1000_.jpg;+http://ecx.images-amazon.com/images/I/51SWIy4HBSL._SL1000_.jpg;+http://ecx.images-amazon.com/images/I/51%2B%2BrLsJb-L._SL1000_.jpg;+http://ecx.images-amazon.com/images/I/611Hi-dd0-L._SL1000_.jpg;+http://ecx.images-amazon.com/images/I/41W8FPeaZOL.jpg;+http://ecx.images-amazon.com/images/I/31KJZs4MxiL.jpg;+http://ecx.images-amazon.com/images/I/41G-lTKRLJL.jpg;+http://ecx.images-amazon.com/images/I/41zusKnNoKL.jpg;+http://ecx.images-amazon.com/images/I/3195uZKqgwL.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"black raven",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Für Babys ab Geburt  13 kg (ca. 12 Monate)</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'> Side Protection System garantiert optimalen Schutz bei einem Seitenaufprall</span></li><li><span style='font-size:15px'> Inklusive Sitzverkleinerer für kleinere Babys  integriertem Sonnenverdeck</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61708951</li><li><b></b>:&nbsp2 Kg</li><li><b></b>:&nbsp35 x 43 x 72 cm</li><li><b></b>:&nbsp2015</li><li><b></b>:&nbspCabrioFix</li><li><b></b>:&nbspblack raven</li><li><b>Style</b>:&nbsp 2015</li><li><b>Benötigt Batterien</b>:&nbsp</li><li><b>FAA-Approved for use on aircraft</b>:&nbspcertified frustration-free</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","2",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B00MS3U8ZE", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/61763eAPDBL._SL1205_.jpg",+http://ecx.images-amazon.com/images/I/61763eAPDBL._SL1205_.jpg,+http://ecx.images-amazon.com/images/I/61763eAPDBL._SL1205_.jpg,+http://ecx.images-amazon.com/images/I/61763eAPDBL._SL1205_.jpg;+http://ecx.images-amazon.com/images/I/61iPStKr1vL._SL1205_.jpg;+http://ecx.images-amazon.com/images/I/61SbqkzG8ML._SL1205_.jpg;+http://ecx.images-amazon.com/images/I/61b6C8LTOAL._SL1205_.jpg;+http://ecx.images-amazon.com/images/I/61lHW8iRAFL._SL1205_.jpg;+http://ecx.images-amazon.com/images/I/61FGMuhw8eL._SL1201_.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"concrete grey",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Für Babys ab Geburt  13 kg (ca. 12 Monate)</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'> Side Protection System garantiert optimalen Schutz bei einem Seitenaufprall</span></li><li><span style='font-size:15px'> Inklusive Sitzverkleinerer für kleinere Babys  integriertem Sonnenverdeck</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61708961</li><li><b></b>:&nbsp3,2 Kg</li><li><b></b>:&nbsp72 x 46 x 34 cm</li><li><b></b>:&nbsp2015</li><li><b></b>:&nbspCabrioFix</li><li><b></b>:&nbspconcrete grey</li><li><b>Style</b>:&nbsp 2015</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","3,2",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B00MS3UDJU", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/61YFZfp2N1L._SL1200_.jpg",+http://ecx.images-amazon.com/images/I/61YFZfp2N1L._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61YFZfp2N1L._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61YFZfp2N1L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71cXqJMvmmL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71GQgPpFA6L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71HVeMDxm7L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71cXSWECz2L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71l7QeSbUZL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81Tv4Yd2fEL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81jn78DwvYL._SL1500_.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"earth brown",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Für Babys ab Geburt  13 kg (ca. 12 Monate)</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'> Side Protection System garantiert optimalen Schutz bei einem Seitenaufprall</span></li><li><span style='font-size:15px'> Inklusive Sitzverkleinerer für kleinere Babys  integriertem Sonnenverdeck</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61708981</li><li><b></b>:&nbsp2 Kg</li><li><b></b>:&nbsp71 x 45,4 x 35,2 cm</li><li><b></b>:&nbsp2015</li><li><b></b>:&nbspCabrioFix</li><li><b></b>:&nbspearth brown</li><li><b></b>:&nbspKunststoff, Textil</li><li><b></b>:&nbspKunststoff, Textil</li><li><b>Style</b>:&nbsp 2015</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","2",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B00MS3UDMC", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/61rBfwLdjtL._SL1200_.jpg",+http://ecx.images-amazon.com/images/I/61rBfwLdjtL._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61rBfwLdjtL._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61rBfwLdjtL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61XmArNq-FL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61jCKU3zufL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61TnQKmY2XL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61puim0VU1L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61-U3LiuERL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71H7ZEnJ-SL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61BqZYhna7L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61xNzr21LVL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61XPjKV4gaL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/51mM257uWML._SL1166_.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"black crystal",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Für Babys ab Geburt  13 kg (ca. 12 Monate)</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'> Side Protection System garantiert optimalen Schutz bei einem Seitenaufprall</span></li><li><span style='font-size:15px'> Inklusive Sitzverkleinerer für kleinere Babys  integriertem Sonnenverdeck</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61708741</li><li><b></b>:&nbsp3,5 Kg</li><li><b></b>:&nbsp70,8 x 45,2 x 35,2 cm</li><li><b></b>:&nbsp2015</li><li><b></b>:&nbspCabrioFix</li><li><b></b>:&nbspblack crystal</li><li><b>Empfohlenes maximales Körpergewicht</b>:&nbsp13 Kilogramm</li><li><b>Style</b>:&nbsp 2015</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","3,5",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B014T3XZ4Q", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/71u2zwmHOIL._SL1500_.jpg",+http://ecx.images-amazon.com/images/I/71u2zwmHOIL._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/71u2zwmHOIL._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/71u2zwmHOIL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/810eM0Z2skL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71cXqJMvmmL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71GQgPpFA6L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71HVeMDxm7L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71cXSWECz2L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71l7QeSbUZL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81Tv4Yd2fEL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81peS3iSeyL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71H7ZEnJ-SL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61BqZYhna7L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/61xNzr21LVL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/51mM257uWML._SL1166_.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"origmi red",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Für Babys ab Geburt  13 kg (ca. 12 Monate)</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'> Side Protection System garantiert optimalen Schutz bei einem Seitenaufprall</span></li><li><span style='font-size:15px'> Inklusive Sitzverkleinerer für kleinere Babys  integriertem Sonnenverdeck</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61709531</li><li><b></b>:&nbsp3,5 Kg</li><li><b></b>:&nbsp66 x 44 x 57 cm</li><li><b></b>:&nbsp2016</li><li><b></b>:&nbsporigmi red</li><li><b>Empfohlenes maximales Körpergewicht</b>:&nbsp13 Kilogramm</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","3,5",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B015E0TUNS", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/51ZyNNrUk4L.jpg",+http://ecx.images-amazon.com/images/I/51ZyNNrUk4L.jpg,+http://ecx.images-amazon.com/images/I/51ZyNNrUk4L.jpg,+http://ecx.images-amazon.com/images/I/51ZyNNrUk4L.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"",Knits,"",,S,,Male,"","<ul><li><b></b>:&nbsp2 Kg</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","2",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B015P7Y6XO", 0,"MAXI-COSI CabrioFix","","","+http://ecx.images-amazon.com/images/I/511xjLhG8yL.jpg",+http://ecx.images-amazon.com/images/I/511xjLhG8yL.jpg,+http://ecx.images-amazon.com/images/I/511xjLhG8yL.jpg,+http://ecx.images-amazon.com/images/I/511xjLhG8yL.jpg,"MAXI-COSI-CabrioFix","MAXI-COSI-CabrioFix.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"Blau",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Installation  nur einem Klick</span></li><li><span style='font-size:15px'> Side Protection System</span></li><li><span style='font-size:15px'> Kopfpolster</span></li><li><span style='font-size:15px'> Praktisches Travelsystem</span></li><li><span style='font-size:15px'> BatterieErforlich: n</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp61709550</li><li><b></b>:&nbspBlau</li></ul>",,,,,2013-03-01 00:00:00,,,,"259.9","133.52","",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B00MS3UZDE", 0,"MAXI-COSI Pebble","","","+http://ecx.images-amazon.com/images/I/61LrGsuAl%2BL._SL1200_.jpg",+http://ecx.images-amazon.com/images/I/61LrGsuAl%2BL._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61LrGsuAl%2BL._SL1200_.jpg,+http://ecx.images-amazon.com/images/I/61LrGsuAl%2BL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71jOS3rGfdL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71c2pAdFd0L._SL1500_.jpg,"MAXI-COSI-Pebble","MAXI-COSI-Pebble.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"black raven",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Bietet zusätzlichen Komfort, Wärme  Schutz an kalten Tagen</span></li><li><span style='font-size:15px'> Hält Ihr Kind kuschelig warm</span></li><li><span style='font-size:15px'> Kordelzug im Kopfbereich, so wird auch  Kopf Ihres Kindes vor Wind &amp; Kälte geschützt</span></li><li><span style='font-size:15px'> Farblich passend zu Maxi-Cosi Pebble erhältlich</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp73508950</li><li><b></b>:&nbsp522 g</li><li><b></b>:&nbsp71 x 38 x 8 cm</li><li><b></b>:&nbsp2015</li><li><b></b>:&nbspPebble</li><li><b></b>:&nbspblack raven</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"289.9","149.52","522",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B016HUM964", 0,"MAXI-COSI Pebble","","","+http://ecx.images-amazon.com/images/I/71SOGNWdtTL._SL1500_.jpg",+http://ecx.images-amazon.com/images/I/71SOGNWdtTL._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/71SOGNWdtTL._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/71SOGNWdtTL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81TorHFO2hL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71VaUUZzJ3L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81IhmQ0envL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71Ce%2B1xyd3L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/7186agKUteL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71bBxbR7BkL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81xcbWyyCYL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/711rYHkyDNL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81h1SJMjOpL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71wiJAt%2BI5L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/616SG1pLG1L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71poWwBxdxL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71aPydiBizL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/61MjKoqUfpL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71-c6Pda64L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71NO9RwfLoL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71dy-sOXciL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71tqjqSlGML._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/713f-McoiKL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71vfgHSkpxL._SL1500_.jpg,"MAXI-COSI-Pebble","MAXI-COSI-Pebble.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"grau",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Innovatives Gurtsystem ermöglicht es  Baby sicher innerhalb von wenigen Seken anzugurten</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'>  integriertem Sonnenverdeck  inklusive Sitzverkleinerer für kleinere Babys</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp63009631</li><li><b></b>:&nbsp4,1 Kg</li><li><b></b>:&nbsp69 x 44 x 57 cm</li><li><b>/:</b>:&nbspAußenseite: 100% Polyester, Füllung: 100% Polyester</li><li><b></b>:&nbsp2016</li><li><b></b>:&nbspPebble</li><li><b></b>:&nbspgrau</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"28.0","149.52","4,1",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
"admin","base","Default","","simple","14,86,91","B016HUMCYI", 0,"MAXI-COSI Pebble","","","+http://ecx.images-amazon.com/images/I/81o1WrkwM2L._SL1500_.jpg",+http://ecx.images-amazon.com/images/I/81o1WrkwM2L._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/81o1WrkwM2L._SL1500_.jpg,+http://ecx.images-amazon.com/images/I/81o1WrkwM2L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81TorHFO2hL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71VaUUZzJ3L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81IhmQ0envL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71Ce%2B1xyd3L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/7186agKUteL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71bBxbR7BkL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81xcbWyyCYL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/711rYHkyDNL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/81h1SJMjOpL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71wiJAt%2BI5L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/616SG1pLG1L._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71poWwBxdxL._SL1200_.jpg;+http://ecx.images-amazon.com/images/I/71aPydiBizL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/61MjKoqUfpL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71-c6Pda64L._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71NO9RwfLoL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71dy-sOXciL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71tqjqSlGML._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/713f-McoiKL._SL1500_.jpg;+http://ecx.images-amazon.com/images/I/71vfgHSkpxL._SL1500_.jpg,"MAXI-COSI-Pebble","MAXI-COSI-Pebble.html","",1 column,Product Info Column,"","","","",Use config,Use config,No,No,德品国际,Enabled,No,"Catalog, Search",Taxable Goods,"braun",Knits,"",,S,,Male,"<ul class='a-vertical a-spacing-none'><li><span style='font-size:15px'> Innovatives Gurtsystem ermöglicht es  Baby sicher innerhalb von wenigen Seken anzugurten</span></li><li><span style='font-size:15px'> Sichere Installation   FamilyFix, 2wayFix, Easy Base 2 o dem Standard-Dreipunkt-Gurt</span></li><li><span style='font-size:15px'> Ideale Kombination als Travelsystem  Maxi-Cosi-  Quinny Kinwagen</span></li><li><span style='font-size:15px'>  integriertem Sonnenverdeck  inklusive Sitzverkleinerer für kleinere Babys</span></li></ul><span class='caretnext'></span><a id='seeMoreDetailsLink' class='a-link-normal' href='#productDetails'>Weitere Produktdetails</a>","<ul><li><b></b>:&nbsp63009651</li><li><b></b>:&nbsp4,1 Kg</li><li><b></b>:&nbsp69 x 44 x 57 cm</li><li><b>/:</b>:&nbspAußenseite: 100% Polyester, Füllung: 100% Polyester</li><li><b></b>:&nbsp2016</li><li><b></b>:&nbspPebble</li><li><b></b>:&nbspbraun</li><li><b>Benötigt Batterien</b>:&nbsp</li></ul>",,,,,2013-03-01 00:00:00,,,,"28.0","149.52","4,1",,,5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Lexington Cardigan Sweater,0,simple,,
